k,b_spec,b_emp_raw,b_emp_windowmin
0,0.000000,0,0
1,0.202783,1,0
2,0.403938,2,0
3,0.603463,3,1
4,0.801360,4,2
5,0.997628,5,3
6,1.192267,6,4
7,1.385278,7,5
8,1.576660,6,6
9,1.766412,7,6
10,1.954537,8,6
11,2.141032,9,7
12,2.325899,10,8
13,2.509136,9,9
14,2.690745,10,9
15,2.870726,11,9
16,3.049077,12,10
17,3.225800,11,11
18,3.400894,12,11
19,3.574359,13,11
20,3.746195,14,12
21,3.916403,13,13
22,4.084981,14,13
23,4.251931,15,13
24,4.417253,14,14
25,4.580945,15,14
26,4.743009,18,14
27,4.903444,15,15
28,5.062250,16,15
29,5.219427,19,15
30,5.374976,16,16
31,5.528895,19,16
32,5.681186,20,16
33,5.831848,17,17
34,5.980882,20,17
35,6.128287,19,17
36,6.274062,18,18
37,6.418209,23,18
38,6.560728,24,18
39,6.701617,19,19
40,6.840878,24,19
41,6.978510,25,19
42,7.114513,20,20
43,7.248888,27,20
44,7.381633,28,20
45,7.512750,21,21
46,7.642238,28,21
47,7.770097,23,21
48,7.896328,28,23
49,8.020929,23,23
50,8.143902,28,23
51,8.265247,29,23
52,8.384962,24,24
53,8.503048,25,24
54,8.619506,28,24
55,8.734335,25,25
56,8.847536,30,25
57,8.959107,31,25
58,9.069050,26,26
59,9.177364,33,26
60,9.284049,26,26
61,9.389105,33,26
62,9.492533,26,26
63,9.594331,35,26
64,9.694501,34,26
65,9.793043,27,27
66,9.889955,28,27
67,9.985239,27,27
68,10.078894,28,27
69,10.170920,35,27
70,10.261317,28,28
71,10.350086,35,28
72,10.437225,36,28
73,10.522736,35,29
74,10.606618,36,28
75,10.688872,29,28
76,10.769497,28,28
77,10.848492,29,28
78,10.925859,28,28
79,11.001598,37,28
80,11.075707,30,28
81,11.148188,29,29
82,11.219040,30,29
83,11.288263,37,29
84,11.355857,38,30
85,11.421823,37,30
86,11.486160,30,30
87,11.548868,31,30
88,11.609947,40,30
89,11.669398,31,31
90,11.727219,38,31
91,11.783412,39,31
92,11.837977,32,31
93,11.890912,31,31
94,11.942218,38,31
95,11.991896,31,31
96,12.039945,38,31
97,12.086366,39,31
98,12.131157,32,32
99,12.174320,41,32
100,12.215854,32,32
101,12.255759,41,32
102,12.294035,32,32
103,12.330683,41,32
104,12.365701,32,32
105,12.399091,41,32
106,12.430853,32,32
107,12.460985,33,32
108,12.489489,40,32
109,12.516364,41,33
110,12.541610,40,33
111,12.565227,33,33
112,12.587216,42,33
113,12.607575,33,33
114,12.626306,42,33
115,12.643408,33,33
116,12.658882,34,33
117,12.672727,33,33
118,12.684942,40,33
119,12.695529,33,33
120,12.704488,34,33
121,12.711817,33,33
122,12.717518,40,33
123,12.721590,39,33
124,12.724033,34,34
125,12.724847,41,34
126,12.724033,34,34
127,12.721590,39,33
128,12.717518,40,33
129,12.711817,33,33
130,12.704488,34,33
131,12.695529,33,33
132,12.684942,40,33
133,12.672727,33,33
134,12.658882,34,33
135,12.643408,33,33
136,12.626306,42,33
137,12.607575,33,33
138,12.587216,42,33
139,12.565227,33,33
140,12.541610,40,33
141,12.516364,41,33
142,12.489489,40,32
143,12.460985,33,32
144,12.430853,32,32
145,12.399091,41,32
146,12.365701,32,32
147,12.330683,41,32
148,12.294035,32,32
149,12.255759,41,32
150,12.215854,32,32
151,12.174320,41,32
152,12.131157,32,32
153,12.086366,39,31
154,12.039945,38,31
155,11.991896,31,31
156,11.942218,38,31
157,11.890912,31,31
158,11.837977,32,31
159,11.783412,39,31
160,11.727219,38,31
161,11.669398,31,31
162,11.609947,40,30
163,11.548868,31,30
164,11.486160,30,30
165,11.421823,37,30
166,11.355857,38,30
167,11.288263,37,29
168,11.219040,30,29
169,11.148188,29,29
170,11.075707,30,28
171,11.001598,37,28
172,10.925859,28,28
173,10.848492,29,28
174,10.769497,28,28
175,10.688872,29,28
176,10.606618,36,28
177,10.522736,35,29
178,10.437225,36,28
179,10.350086,35,28
180,10.261317,28,28
181,10.170920,35,27
182,10.078894,28,27
183,9.985239,27,27
184,9.889955,28,27
185,9.793043,27,27
186,9.694501,34,26
187,9.594331,35,26
188,9.492533,26,26
189,9.389105,33,26
190,9.284049,26,26
191,9.177364,33,26
192,9.069050,26,26
193,8.959107,31,25
194,8.847536,30,25
195,8.734335,25,25
196,8.619506,28,24
197,8.503048,25,24
198,8.384962,24,24
199,8.265247,29,23
200,8.143902,28,23
201,8.020929,23,23
202,7.896328,28,23
203,7.770097,23,21
204,7.642238,28,21
205,7.512750,21,21
206,7.381633,28,20
207,7.248888,27,20
208,7.114513,20,20
209,6.978510,25,19
210,6.840878,24,19
211,6.701617,19,19
212,6.560728,24,18
213,6.418209,23,18
214,6.274062,18,18
215,6.128287,19,17
216,5.980882,20,17
217,5.831848,17,17
218,5.681186,20,16
219,5.528895,19,16
220,5.374976,16,16
221,5.219427,19,15
222,5.062250,16,15
223,4.903444,15,15
224,4.743009,18,14
225,4.580945,15,14
226,4.417253,14,14
227,4.251931,15,13
228,4.084981,14,13
229,3.916403,13,13
230,3.746195,14,12
231,3.574359,13,11
232,3.400894,12,11
233,3.225800,11,11
234,3.049077,12,10
235,2.870726,11,9
236,2.690745,10,9
237,2.509136,9,9
238,2.325899,10,8
239,2.141032,9,7
240,1.954537,8,6
241,1.766412,7,6
242,1.576660,6,6
243,1.385278,7,5
244,1.192267,6,4
245,0.997628,5,3
246,0.801360,4,2
247,0.603463,3,1
248,0.403938,2,0
249,0.202783,1,0
250,0.000000,0,0
