k,b_spec,b_emp_raw,b_emp_windowmin
0,0.000000,0,0
1,0.046099,1,0
2,0.092032,2,0
3,0.137802,2,1
4,0.183406,3,2
5,0.228846,3,2
6,0.274122,4,3
7,0.319233,4,3
8,0.364179,5,4
9,0.408960,5,4
10,0.453577,6,5
11,0.498029,6,5
12,0.542317,6,6
13,0.586439,7,6
14,0.630398,8,6
15,0.674191,8,7
16,0.717820,8,8
17,0.761285,8,8
18,0.804584,9,8
19,0.847720,9,8
20,0.890690,9,9
21,0.933496,10,9
22,0.976137,10,9
23,1.018613,10,10
24,1.060925,11,10
25,1.103073,11,10
26,1.145055,12,11
27,1.186873,12,11
28,1.228527,12,12
29,1.270015,12,12
30,1.311339,13,12
31,1.352499,13,12
32,1.393494,14,13
33,1.434324,13,13
34,1.474989,13,13
35,1.515490,13,13
36,1.555826,15,13
37,1.595998,16,13
38,1.636005,16,15
39,1.675847,17,16
40,1.715525,18,16
41,1.755038,18,17
42,1.794386,19,18
43,1.833570,19,18
44,1.872589,19,19
45,1.911444,19,19
46,1.950134,19,19
47,1.988659,20,19
48,2.027019,20,19
49,2.065215,20,20
50,2.103247,20,20
51,2.141113,20,20
52,2.178815,21,20
53,2.216353,21,20
54,2.253726,21,21
55,2.290934,21,21
56,2.327977,22,21
57,2.364856,23,21
58,2.401570,23,22
59,2.438120,23,23
60,2.474505,23,23
61,2.510725,24,23
62,2.546781,24,23
63,2.582672,24,24
64,2.618398,24,24
65,2.653960,25,24
66,2.689357,25,24
67,2.724589,25,25
68,2.759657,26,25
69,2.794560,26,25
70,2.829299,26,26
71,2.863873,26,26
72,2.898282,26,26
73,2.932527,26,26
74,2.966607,26,26
75,3.000522,26,26
76,3.034273,27,26
77,3.067859,27,26
78,3.101280,27,27
79,3.134537,27,27
80,3.167629,27,27
81,3.200557,27,27
82,3.233320,27,27
83,3.265918,27,27
84,3.298352,27,27
85,3.330621,27,27
86,3.362725,28,27
87,3.394665,29,27
88,3.426440,29,28
89,3.458050,29,29
90,3.489496,29,29
91,3.520777,29,29
92,3.551894,29,29
93,3.582846,29,29
94,3.613633,29,29
95,3.644256,30,29
96,3.674714,31,29
97,3.705007,31,30
98,3.735136,31,31
99,3.765100,31,31
100,3.794899,33,31
101,3.824534,31,31
102,3.854004,31,31
103,3.883309,31,31
104,3.912450,31,31
105,3.941427,35,31
106,3.970238,31,31
107,3.998885,31,31
108,4.027367,31,31
109,4.055685,31,31
110,4.083838,31,31
111,4.111827,31,31
112,4.139650,37,31
113,4.167310,31,31
114,4.194804,37,31
115,4.222134,33,31
116,4.249299,38,33
117,4.276300,38,33
118,4.303136,39,35
119,4.329807,35,35
120,4.356314,39,35
121,4.382656,39,35
122,4.408833,39,37
123,4.434846,37,37
124,4.460694,37,37
125,4.486377,39,37
126,4.511896,37,37
127,4.537250,37,37
128,4.562440,37,37
129,4.587465,40,37
130,4.612325,39,37
131,4.637021,39,39
132,4.661552,39,39
133,4.685918,39,39
134,4.710120,40,39
135,4.734157,40,39
136,4.758030,40,40
137,4.781737,40,40
138,4.805281,40,40
139,4.828659,40,40
140,4.851873,40,40
141,4.874922,40,40
142,4.897807,40,40
143,4.920527,40,40
144,4.943082,40,40
145,4.965473,40,40
146,4.987699,40,40
147,5.009761,40,40
148,5.031657,40,40
149,5.053390,40,40
150,5.074957,40,40
151,5.096360,40,40
152,5.117598,40,40
153,5.138672,40,40
154,5.159581,40,40
155,5.180325,40,40
156,5.200905,40,40
157,5.221320,40,40
158,5.241571,40,40
159,5.261656,40,40
160,5.281577,40,40
161,5.301334,40,40
162,5.320926,40,40
163,5.340353,40,40
164,5.359616,40,40
165,5.378714,40,40
166,5.397647,40,40
167,5.416416,40,40
168,5.435020,40,40
169,5.453459,42,40
170,5.471734,42,40
171,5.489844,43,42
172,5.507790,44,42
173,5.525571,45,43
174,5.543187,44,44
175,5.560638,44,44
176,5.577925,44,44
177,5.595048,46,44
178,5.612005,47,44
179,5.628798,48,46
180,5.645427,46,46
181,5.661891,46,46
182,5.678190,49,46
183,5.694324,46,46
184,5.710294,49,46
