tc_greedy=17.1036 tc_ve=16.9141 best_seed=16.9141 t=686ms
t=3216ms tc=16.9046
t=3379ms tc=16.9041
t=3479ms tc=16.9016
t=3583ms tc=16.8931
t=3721ms tc=16.8861
t=3852ms tc=16.8853
t=4082ms tc=16.8823
t=4253ms tc=16.8798
t=4409ms tc=16.8719
t=4620ms tc=16.8701
t=4800ms tc=16.8660
t=4936ms tc=16.8628
t=5138ms tc=16.8584
t=5314ms tc=16.8577
t=5486ms tc=16.8553
t=5662ms tc=16.8552
t=5802ms tc=16.8490
t=5958ms tc=16.8474
t=6150ms tc=16.8452
t=6311ms tc=16.8435
t=6439ms tc=16.8420
t=6588ms tc=16.8387
t=6710ms tc=16.8376
t=6832ms tc=16.8346
t=7029ms tc=16.8340
t=7161ms tc=16.8318
t=7298ms tc=16.8282
t=7497ms tc=16.8264
t=7596ms tc=16.8249
t=7736ms tc=16.8181
t=7887ms tc=16.8181
t=8004ms tc=16.8176
t=8103ms tc=16.8155
t=8225ms tc=16.8111
t=8435ms tc=16.8107
t=8558ms tc=16.8102
t=8718ms tc=16.8086
t=8812ms tc=16.8084
t=8903ms tc=16.8044
t=9087ms tc=16.8033
t=9209ms tc=16.8019
t=9306ms tc=16.7987
t=9412ms tc=16.7983
t=9523ms tc=16.7925
t=9898ms tc=16.7907
t=10172ms tc=16.7898
t=10272ms tc=16.7885
t=10374ms tc=16.7883
t=10520ms tc=16.7874
t=10625ms tc=16.7870
t=10815ms tc=16.7830
t=33491ms tc=16.7821
t=79357ms tc=16.7796
anneal_sweeps=34013 cycles=18 fresh=0
t_final=87302ms tc_final=16.7796 ve_fits=true
