t_ve=4ms ve_width=8.00 ve_tc=16.9692
tc_greedy=17.1407 tc_ve=16.9141 best_seed=16.9141 t=807ms
t=3300ms tc=16.9135
t=3523ms tc=16.9074
t=3716ms tc=16.9046
t=3912ms tc=16.9000
t=4104ms tc=16.8997
t=4306ms tc=16.8986
t=4524ms tc=16.8936
t=4696ms tc=16.8861
t=4958ms tc=16.8838
t=5129ms tc=16.8798
t=5290ms tc=16.8784
t=5491ms tc=16.8752
t=5696ms tc=16.8694
t=5938ms tc=16.8608
t=6113ms tc=16.8591
t=6284ms tc=16.8554
t=6660ms tc=16.8520
t=6950ms tc=16.8484
t=7131ms tc=16.8466
t=7336ms tc=16.8456
t=7517ms tc=16.8371
t=7733ms tc=16.8361
t=7948ms tc=16.8329
t=8132ms tc=16.8302
t=8427ms tc=16.8282
t=8662ms tc=16.8278
t=8850ms tc=16.8216
t=9141ms tc=16.8179
t=9328ms tc=16.8165
t=9528ms tc=16.8156
t=9706ms tc=16.8156
t=9877ms tc=16.8113
t=10050ms tc=16.8108
t=10269ms tc=16.8104
t=10446ms tc=16.8090
t=10669ms tc=16.8080
t=10912ms tc=16.8067
t=11171ms tc=16.8039
t=11347ms tc=16.8028
t=11662ms tc=16.8027
t=11847ms tc=16.7994
t=12076ms tc=16.7966
t=12275ms tc=16.7954
t=12693ms tc=16.7939
t=12882ms tc=16.7925
t=13159ms tc=16.7915
t=13334ms tc=16.7909
t=13533ms tc=16.7898
t=13737ms tc=16.7893
t=13924ms tc=16.7871
t=14106ms tc=16.7871
t=14354ms tc=16.7869
t=14665ms tc=16.7868
t=14849ms tc=16.7857
t=15041ms tc=16.7845
t=28136ms tc=16.7825
t=28302ms tc=16.7825
t=41373ms tc=16.7812
t=41476ms tc=16.7809
t=206329ms tc=16.7808
t=206400ms tc=16.7795
t=786929ms tc=16.7788
anneal_sweeps=380427 cycles=199 fresh=0
t_final=873000ms tc_final=16.7788 ve_fits=true
