tc_greedy=37.3065 tc_ve=26.8277 best_seed=26.8277 t=104ms
t=5498ms tc=26.8190
t=5509ms tc=26.5956
t=5522ms tc=26.5806
t=5535ms tc=26.5670
t=5605ms tc=26.5667
t=5653ms tc=26.5199
t=5663ms tc=26.4585
t=5673ms tc=26.4511
t=5685ms tc=26.3688
t=5703ms tc=26.3531
t=5717ms tc=26.3492
t=5728ms tc=26.3492
t=5744ms tc=26.3481
t=5764ms tc=26.3385
t=16353ms tc=26.3089
t=16367ms tc=26.2977
t=16387ms tc=26.2886
t=16401ms tc=26.2747
t=16412ms tc=26.2714
t=16425ms tc=26.2649
t=16438ms tc=26.2640
t=16450ms tc=26.2640
t=16461ms tc=26.2624
t=16474ms tc=26.2601
t=16492ms tc=26.2416
t=16505ms tc=26.2347
t=16529ms tc=26.2000
t=16541ms tc=26.1998
t=16556ms tc=26.1582
t=16567ms tc=26.1559
t=16580ms tc=26.1540
t=16591ms tc=26.1533
t=16608ms tc=26.1533
t=16620ms tc=26.1524
t=16637ms tc=26.1440
t=16650ms tc=26.1414
t=16666ms tc=26.1378
t=16683ms tc=26.1368
t=16695ms tc=26.1336
t=16712ms tc=26.1233
t=16725ms tc=26.1203
t=16737ms tc=26.1183
t=16843ms tc=26.1179
t=16856ms tc=26.1158
t=16884ms tc=26.1152
t=16898ms tc=26.1151
anneal_sweeps=251928 cycles=132 fresh=0
t_final=87300ms tc_final=26.1151 ve_fits=true
