t_ve=1ms ve_width=25.00 ve_tc=27.0556
tc_greedy=37.6887 tc_ve=26.8268 best_seed=26.8268 t=98ms
t=732ms tc=26.8260
t=37746ms tc=26.5782
t=37759ms tc=26.5513
t=37773ms tc=26.5509
t=37874ms tc=26.5499
t=37885ms tc=26.5498
t=37896ms tc=26.5493
t=55237ms tc=26.5038
t=55247ms tc=26.4465
t=55258ms tc=26.4437
t=55271ms tc=26.4394
t=55334ms tc=26.4361
t=55343ms tc=26.4302
t=55390ms tc=26.4241
t=55478ms tc=26.4194
t=55488ms tc=26.4175
t=55498ms tc=26.4174
t=55511ms tc=26.4165
t=55520ms tc=26.4162
t=55533ms tc=26.3857
t=55551ms tc=26.3813
t=65355ms tc=26.3656
t=65365ms tc=26.3610
t=65435ms tc=26.2879
t=65446ms tc=26.2870
t=65456ms tc=26.2869
t=65466ms tc=26.2860
t=65475ms tc=26.2847
t=65486ms tc=26.2834
t=65496ms tc=26.2834
t=65537ms tc=26.2780
t=65563ms tc=26.2779
t=65580ms tc=26.2779
t=65592ms tc=26.2778
t=65615ms tc=26.2778
t=65633ms tc=26.2778
t=65646ms tc=26.2774
t=65656ms tc=26.2773
t=65677ms tc=26.2771
t=65688ms tc=26.2770
t=73022ms tc=26.2750
t=73037ms tc=26.2748
t=73049ms tc=26.2680
t=73061ms tc=26.2660
t=73073ms tc=26.2660
t=73095ms tc=26.2657
anneal_sweeps=254328 cycles=133 fresh=0
t_final=87300ms tc_final=26.2657 ve_fits=true
