tc_greedy=35.3592 tc_ve=29.4305 best_seed=29.4305 t=291ms
t=1150ms tc=29.4208
t=1297ms tc=29.4052
t=2148ms tc=29.3587
t=2308ms tc=29.3387
t=2461ms tc=29.3384
t=3152ms tc=29.3182
t=3301ms tc=29.3044
t=4136ms tc=29.2762
t=4293ms tc=29.2735
t=4441ms tc=29.2501
t=5150ms tc=29.2411
t=5290ms tc=29.2393
t=5425ms tc=29.2074
t=6144ms tc=29.2037
t=6273ms tc=29.2001
t=6409ms tc=29.1768
t=7153ms tc=29.1712
t=7294ms tc=29.1623
t=7429ms tc=29.1250
t=8148ms tc=29.1201
t=8282ms tc=29.1061
t=8414ms tc=29.0647
t=9151ms tc=29.0647
t=9328ms tc=29.0483
t=9452ms tc=29.0326
t=10150ms tc=29.0055
t=10289ms tc=28.9732
t=10430ms tc=28.9683
t=11152ms tc=28.9351
t=11289ms tc=28.9329
t=12141ms tc=28.9247
t=12268ms tc=28.9139
t=12393ms tc=28.8733
t=13135ms tc=28.8399
t=13270ms tc=28.8365
t=13380ms tc=28.8161
t=14135ms tc=28.8021
t=14253ms tc=28.7458
t=14376ms tc=28.7445
t=15135ms tc=28.7436
t=15249ms tc=28.7414
t=15363ms tc=28.7364
t=15484ms tc=28.7206
t=16148ms tc=28.7166
t=16266ms tc=28.7021
t=16395ms tc=28.6818
t=17147ms tc=28.6626
t=17262ms tc=28.6539
t=17384ms tc=28.6357
t=18142ms tc=28.6205
t=18263ms tc=28.6203
t=18379ms tc=28.6129
t=18512ms tc=28.6076
t=19149ms tc=28.5950
t=19267ms tc=28.5841
t=19404ms tc=28.5716
t=20143ms tc=28.5604
t=20252ms tc=28.5364
t=20369ms tc=28.5323
t=20477ms tc=28.5255
t=21148ms tc=28.5137
t=21265ms tc=28.4693
t=21382ms tc=28.4675
t=22149ms tc=28.4412
t=22270ms tc=28.4362
t=22372ms tc=28.4235
t=22495ms tc=28.4105
t=23157ms tc=28.3876
t=23283ms tc=28.3845
t=23398ms tc=28.3744
t=24143ms tc=28.3636
t=24255ms tc=28.3564
t=24381ms tc=28.3506
t=24498ms tc=28.3420
t=25142ms tc=28.3415
t=25249ms tc=28.3403
t=25364ms tc=28.3277
t=25481ms tc=28.3128
t=25587ms tc=28.3082
t=26141ms tc=28.3039
t=26238ms tc=28.3018
t=26333ms tc=28.2856
t=26432ms tc=28.2783
t=26526ms tc=28.2758
t=26632ms tc=28.2702
t=26746ms tc=28.2677
t=26835ms tc=28.2619
t=27145ms tc=28.2613
t=27251ms tc=28.2613
t=27348ms tc=28.2587
t=28141ms tc=28.2587
