t_ve=4ms ve_width=29.00 ve_tc=30.6717
tc_greedy=35.7753 tc_ve=29.4305 best_seed=29.4305 t=454ms
t=1367ms tc=29.4135
t=1566ms tc=29.4073
t=1726ms tc=29.3937
t=1888ms tc=29.3902
t=2040ms tc=29.3399
t=2203ms tc=29.3228
t=2348ms tc=29.3210
t=2497ms tc=29.3091
t=2653ms tc=29.2813
t=2809ms tc=29.2607
t=3201ms tc=29.2557
t=3354ms tc=29.1986
t=3508ms tc=29.1910
t=3650ms tc=29.1711
t=3793ms tc=29.1658
t=3935ms tc=29.1536
t=4207ms tc=29.1435
t=4358ms tc=29.1326
t=4504ms tc=29.1068
t=4653ms tc=29.0863
t=4796ms tc=29.0834
t=5201ms tc=29.0633
t=5339ms tc=29.0419
t=5526ms tc=29.0361
t=5661ms tc=29.0292
t=5826ms tc=29.0225
t=5977ms tc=29.0210
t=6203ms tc=29.0049
t=6347ms tc=28.9779
t=6494ms tc=28.9740
t=6626ms tc=28.9653
t=6791ms tc=28.9455
t=6925ms tc=28.9262
t=7202ms tc=28.9025
t=7347ms tc=28.8947
t=7476ms tc=28.8794
t=7602ms tc=28.8675
t=7740ms tc=28.8562
t=7862ms tc=28.8466
t=7986ms tc=28.8344
t=8208ms tc=28.8322
t=8336ms tc=28.8198
t=8461ms tc=28.7899
t=8594ms tc=28.7532
t=8732ms tc=28.7365
t=8844ms tc=28.7364
t=9200ms tc=28.7364
t=9313ms tc=28.7205
t=9427ms tc=28.7109
t=9548ms tc=28.6931
t=9664ms tc=28.6830
t=9782ms tc=28.6680
t=9930ms tc=28.6670
t=10198ms tc=28.6632
t=10316ms tc=28.6558
t=10438ms tc=28.6485
t=10546ms tc=28.6420
t=10667ms tc=28.6357
t=10784ms tc=28.6276
t=10906ms tc=28.6133
t=11197ms tc=28.6133
t=11313ms tc=28.5864
t=11432ms tc=28.5828
t=11550ms tc=28.5692
t=11667ms tc=28.5507
t=11775ms tc=28.5230
t=11896ms tc=28.5099
t=12008ms tc=28.5078
t=12205ms tc=28.4834
t=12317ms tc=28.4831
t=12463ms tc=28.4815
t=12560ms tc=28.4811
t=12675ms tc=28.4673
t=12789ms tc=28.4555
t=12906ms tc=28.4529
t=13202ms tc=28.4487
t=13296ms tc=28.4426
t=13391ms tc=28.4340
t=13508ms tc=28.4319
t=13620ms tc=28.4174
t=13733ms tc=28.4151
t=13845ms tc=28.3938
t=14196ms tc=28.3888
t=14311ms tc=28.3720
t=14420ms tc=28.3711
t=14514ms tc=28.3557
t=14632ms tc=28.3506
t=14730ms tc=28.3354
t=14822ms tc=28.3268
t=14913ms tc=28.3060
t=15200ms tc=28.3060
t=15301ms tc=28.3028
t=15414ms tc=28.2943
t=15516ms tc=28.2928
t=15615ms tc=28.2772
t=15712ms tc=28.2766
t=15801ms tc=28.2720
t=15889ms tc=28.2545
t=16202ms tc=28.2318
t=16291ms tc=28.2232
t=16387ms tc=28.2128
t=16498ms tc=28.1948
t=16583ms tc=28.1775
t=16675ms tc=28.1518
t=16763ms tc=28.1416
t=16854ms tc=28.1386
t=17202ms tc=28.1283
t=17301ms tc=28.1149
t=17385ms tc=28.1013
t=17481ms tc=28.0902
t=17569ms tc=28.0887
t=17660ms tc=28.0780
t=17748ms tc=28.0646
t=17860ms tc=28.0630
t=18199ms tc=28.0140
t=18296ms tc=28.0056
t=18378ms tc=27.9832
t=18460ms tc=27.9826
t=18552ms tc=27.9710
t=18642ms tc=27.9693
t=18723ms tc=27.9475
t=18798ms tc=27.9455
t=19189ms tc=27.9388
t=19279ms tc=27.9336
t=19364ms tc=27.9327
t=19453ms tc=27.9213
t=19545ms tc=27.9197
t=19632ms tc=27.9152
t=19722ms tc=27.9119
t=19806ms tc=27.8999
t=19884ms tc=27.8726
t=20190ms tc=27.8726
t=20272ms tc=27.8719
t=20351ms tc=27.8621
t=20446ms tc=27.8541
t=20527ms tc=27.8475
t=20614ms tc=27.8467
t=20707ms tc=27.8351
t=20789ms tc=27.8349
t=20869ms tc=27.8223
t=21191ms tc=27.8222
t=21289ms tc=27.7994
t=21368ms tc=27.7986
t=21456ms tc=27.7953
t=21542ms tc=27.7819
t=21626ms tc=27.7818
t=21705ms tc=27.7816
t=21785ms tc=27.7814
t=21870ms tc=27.7812
t=22193ms tc=27.7811
t=22279ms tc=27.7685
t=22363ms tc=27.7548
t=22443ms tc=27.7547
t=22527ms tc=27.7417
t=22608ms tc=27.7414
t=22689ms tc=27.7413
t=22789ms tc=27.7411
t=22877ms tc=27.7406
t=22951ms tc=27.7401
t=23199ms tc=27.7400
t=23285ms tc=27.7265
t=23363ms tc=27.7265
t=23445ms tc=27.7265
t=23527ms tc=27.7265
t=23603ms tc=27.7159
t=23676ms tc=27.7159
t=23754ms tc=27.7158
t=23836ms tc=27.7055
t=24196ms tc=27.6919
t=24283ms tc=27.6898
t=24366ms tc=27.6887
t=24439ms tc=27.6887
t=24518ms tc=27.6764
t=24646ms tc=27.6749
t=24719ms tc=27.6749
t=24793ms tc=27.6749
t=24871ms tc=27.6610
t=24947ms tc=27.6474
t=25198ms tc=27.6465
t=25272ms tc=27.6464
t=25346ms tc=27.6319
t=25424ms tc=27.6318
t=25494ms tc=27.6316
t=25573ms tc=27.6257
t=25645ms tc=27.6248
t=25719ms tc=27.6248
t=25795ms tc=27.6243
t=25864ms tc=27.6170
t=26200ms tc=27.6134
t=26272ms tc=27.5985
t=26351ms tc=27.5984
t=26427ms tc=27.5984
t=26499ms tc=27.5984
t=26578ms tc=27.5983
t=26656ms tc=27.5983
t=26733ms tc=27.5983
t=26817ms tc=27.5818
t=27188ms tc=27.5818
t=27265ms tc=27.5634
t=27344ms tc=27.5627
t=27418ms tc=27.5627
t=27504ms tc=27.5583
t=27579ms tc=27.5583
t=27659ms tc=27.5583
t=27735ms tc=27.5548
t=27807ms tc=27.5548
t=27883ms tc=27.5433
t=28189ms tc=27.5413
t=28270ms tc=27.5409
t=28353ms tc=27.5398
t=28433ms tc=27.5396
t=28507ms tc=27.5392
t=28594ms tc=27.5381
t=28670ms tc=27.5381
t=28745ms tc=27.5226
t=28820ms tc=27.5226
t=28891ms tc=27.5224
t=29194ms tc=27.5224
t=29275ms tc=27.5215
t=29351ms tc=27.5215
t=29421ms tc=27.5213
t=29497ms tc=27.5060
t=29574ms tc=27.5060
t=29659ms tc=27.5060
t=29742ms tc=27.5060
t=29814ms tc=27.5057
t=29883ms tc=27.5057
t=30196ms tc=27.5057
t=30278ms tc=27.4944
t=30351ms tc=27.4944
t=30423ms tc=27.4819
t=30497ms tc=27.4819
t=30571ms tc=27.4536
t=30641ms tc=27.4536
t=30718ms tc=27.4349
t=30794ms tc=27.4349
t=30869ms tc=27.4324
t=31195ms tc=27.4192
t=31267ms tc=27.4140
t=31343ms tc=27.4118
t=31415ms tc=27.3931
t=31489ms tc=27.3926
t=31562ms tc=27.3916
t=31638ms tc=27.3916
t=31712ms tc=27.3916
t=31790ms tc=27.3910
t=31866ms tc=27.3867
t=32187ms tc=27.3737
t=32271ms tc=27.3737
t=32346ms tc=27.3737
t=32421ms tc=27.3568
t=32506ms tc=27.3392
t=32573ms tc=27.3387
t=32642ms tc=27.3387
t=32712ms tc=27.3387
t=32771ms tc=27.3387
t=32840ms tc=27.3386
t=32909ms tc=27.3386
t=33189ms tc=27.3386
t=33259ms tc=27.3386
t=33331ms tc=27.3296
t=33400ms tc=27.3252
t=33472ms tc=27.3252
t=33541ms tc=27.3252
t=33615ms tc=27.3073
t=33686ms tc=27.3073
t=33754ms tc=27.3073
t=33847ms tc=27.3055
t=33916ms tc=27.3037
t=34194ms tc=27.3022
t=34256ms tc=27.3018
t=34343ms tc=27.2855
t=34415ms tc=27.2849
t=34487ms tc=27.2849
t=34557ms tc=27.2710
t=34629ms tc=27.2680
t=34699ms tc=27.2680
t=34771ms tc=27.2680
t=34841ms tc=27.2675
t=34908ms tc=27.2674
t=35195ms tc=27.2669
t=35267ms tc=27.2575
t=35344ms tc=27.2575
t=35427ms tc=27.2527
t=35505ms tc=27.2524
t=35577ms tc=27.2518
t=35646ms tc=27.2518
t=35718ms tc=27.2518
t=35792ms tc=27.2495
t=35860ms tc=27.2487
t=36190ms tc=27.2487
t=36263ms tc=27.2487
t=36338ms tc=27.2302
t=36412ms tc=27.2299
t=36486ms tc=27.2299
t=36559ms tc=27.2299
t=36632ms tc=27.2287
t=36718ms tc=27.2281
t=36792ms tc=27.2281
t=36865ms tc=27.2280
t=36954ms tc=27.2146
t=37197ms tc=27.2146
t=37269ms tc=27.2097
t=37336ms tc=27.2092
t=37404ms tc=27.2088
t=37480ms tc=27.2086
t=37553ms tc=27.2086
t=37628ms tc=27.2085
t=37699ms tc=27.2085
t=37763ms tc=27.2085
t=37845ms tc=27.1938
t=37908ms tc=27.1790
t=38200ms tc=27.1788
t=38271ms tc=27.1788
t=38342ms tc=27.1763
t=38411ms tc=27.1763
t=40270ms tc=27.1676
t=40336ms tc=27.1656
t=40399ms tc=27.1656
t=40465ms tc=27.1656
t=40537ms tc=27.1656
t=40603ms tc=27.1656
t=40668ms tc=27.1652
t=40736ms tc=27.1651
t=40803ms tc=27.1650
t=40901ms tc=27.1646
t=40991ms tc=27.1644
t=41099ms tc=27.1447
t=41195ms tc=27.1390
t=41279ms tc=27.1339
t=41388ms tc=27.1241
t=41454ms tc=27.1034
t=41518ms tc=27.0929
t=41585ms tc=27.0928
t=41648ms tc=27.0928
t=41695ms tc=27.0923
t=41749ms tc=27.0922
t=41813ms tc=27.0822
t=41876ms tc=27.0822
t=41939ms tc=27.0726
t=42193ms tc=27.0715
t=42268ms tc=27.0709
t=42377ms tc=27.0614
t=42445ms tc=27.0608
t=42520ms tc=27.0608
t=42666ms tc=27.0607
t=42777ms tc=27.0607
t=42842ms tc=27.0607
t=43193ms tc=27.0604
t=43254ms tc=27.0604
t=43317ms tc=27.0602
t=43396ms tc=27.0437
t=43460ms tc=27.0272
t=44757ms tc=27.0206
t=44817ms tc=26.9995
t=45203ms tc=26.9994
t=45269ms tc=26.9984
t=45382ms tc=26.9973
t=45454ms tc=26.9969
t=45515ms tc=26.9965
t=46192ms tc=26.9744
t=46336ms tc=26.9291
t=46401ms tc=26.9291
t=46461ms tc=26.9287
t=46532ms tc=26.9283
t=47189ms tc=26.9058
t=47247ms tc=26.9056
t=47303ms tc=26.9056
t=47537ms tc=26.9039
t=47594ms tc=26.9039
t=48197ms tc=26.9037
t=48255ms tc=26.9037
t=48360ms tc=26.8766
t=48420ms tc=26.8549
t=48481ms tc=26.8549
t=48538ms tc=26.8546
t=49195ms tc=26.8461
t=49248ms tc=26.8460
t=49303ms tc=26.8452
t=49363ms tc=26.8448
t=52915ms tc=26.8359
t=53202ms tc=26.8357
t=53281ms tc=26.8354
t=53345ms tc=26.8354
t=53416ms tc=26.8122
t=53482ms tc=26.8122
t=53548ms tc=26.8115
t=54202ms tc=26.8113
t=54259ms tc=26.8113
t=54327ms tc=26.8113
t=54388ms tc=26.8099
t=54449ms tc=26.8099
t=54516ms tc=26.8099
t=55201ms tc=26.8097
t=55291ms tc=26.8094
t=55353ms tc=26.8094
t=55567ms tc=26.8094
t=56201ms tc=26.8094
t=56261ms tc=26.8094
t=56329ms tc=26.8094
t=57987ms tc=26.8093
t=58201ms tc=26.8077
t=58346ms tc=26.7874
t=58593ms tc=26.7643
t=58658ms tc=26.7643
t=59203ms tc=26.7643
t=59274ms tc=26.7631
t=59349ms tc=26.7631
t=59414ms tc=26.7631
t=59478ms tc=26.7631
t=60190ms tc=26.7631
t=60258ms tc=26.7631
t=60325ms tc=26.7615
t=60424ms tc=26.7565
t=60489ms tc=26.7565
t=60546ms tc=26.7565
t=61197ms tc=26.7565
t=61257ms tc=26.7565
t=61320ms tc=26.7565
t=61385ms tc=26.7549
t=61512ms tc=26.7498
t=62188ms tc=26.7498
t=62246ms tc=26.7498
t=62309ms tc=26.7364
t=62369ms tc=26.7363
t=62443ms tc=26.7361
t=62521ms tc=26.7361
t=63195ms tc=26.7361
t=63264ms tc=26.7361
t=63351ms tc=26.7361
t=63419ms tc=26.7361
t=63483ms tc=26.7361
t=63540ms tc=26.7361
t=64203ms tc=26.7352
t=64295ms tc=26.7346
t=68200ms tc=26.7316
t=68321ms tc=26.7314
t=68391ms tc=26.7313
t=68479ms tc=26.7277
t=68540ms tc=26.7141
t=69196ms tc=26.7003
t=69258ms tc=26.7003
t=69328ms tc=26.7001
t=69401ms tc=26.7001
t=69476ms tc=26.6967
t=70193ms tc=26.6966
t=70278ms tc=26.6966
t=70345ms tc=26.6755
t=70418ms tc=26.6506
t=70490ms tc=26.6506
t=70556ms tc=26.6471
t=71202ms tc=26.6471
t=71280ms tc=26.6444
t=71350ms tc=26.6444
t=71433ms tc=26.6426
t=71505ms tc=26.6426
t=72200ms tc=26.6426
t=72273ms tc=26.6426
t=75745ms tc=26.6422
t=75793ms tc=26.6404
t=76194ms tc=26.6322
t=76241ms tc=26.6321
t=76291ms tc=26.6175
t=76345ms tc=26.6175
t=76399ms tc=26.6139
t=76458ms tc=26.6138
t=76512ms tc=26.6124
t=77191ms tc=26.6122
t=77238ms tc=26.6104
t=77282ms tc=26.6102
t=77333ms tc=26.6065
t=77383ms tc=26.6046
t=77435ms tc=26.6046
t=77479ms tc=26.6046
t=77546ms tc=26.6046
t=78194ms tc=26.6045
t=78308ms tc=26.5944
t=78363ms tc=26.5870
t=78412ms tc=26.5870
t=78469ms tc=26.5842
t=78542ms tc=26.5820
t=78595ms tc=26.5820
t=79196ms tc=26.5811
t=79249ms tc=26.5802
t=79304ms tc=26.5802
t=79358ms tc=26.5792
t=79411ms tc=26.5792
t=79480ms tc=26.5788
t=79533ms tc=26.5788
t=80195ms tc=26.5787
t=80255ms tc=26.5570
t=80300ms tc=26.5503
t=80350ms tc=26.5502
t=80399ms tc=26.5502
t=80482ms tc=26.5484
t=80531ms tc=26.5484
t=81190ms tc=26.5484
t=81238ms tc=26.5484
t=81287ms tc=26.5484
t=81342ms tc=26.5483
t=81393ms tc=26.5483
t=81442ms tc=26.5483
t=81498ms tc=26.5483
t=81548ms tc=26.5483
t=82195ms tc=26.5480
t=82250ms tc=26.5480
t=82313ms tc=26.5480
t=82360ms tc=26.5480
t=82407ms tc=26.5479
t=83885ms tc=26.5453
t=83948ms tc=26.5448
t=84195ms tc=26.5411
t=84296ms tc=26.5317
t=84344ms tc=26.5123
t=84417ms tc=26.5114
t=84461ms tc=26.5114
t=84511ms tc=26.5112
t=84558ms tc=26.5111
t=85192ms tc=26.5111
t=85358ms tc=26.5050
t=85405ms tc=26.4990
t=85572ms tc=26.4990
t=85620ms tc=26.4960
t=85671ms tc=26.4921
t=85716ms tc=26.4921
t=86195ms tc=26.4840
t=86249ms tc=26.4839
t=86301ms tc=26.4800
t=86351ms tc=26.4800
t=86410ms tc=26.4677
t=86456ms tc=26.4677
t=86500ms tc=26.4638
t=86554ms tc=26.4638
t=87196ms tc=26.4638
t=87249ms tc=26.4638
t=87316ms tc=26.4638
anneal_sweeps=21039 cycles=11 fresh=0
t_final=87317ms tc_final=26.4638 ve_fits=true
