t_ve=2ms ve_width=32.00 ve_tc=33.1888
tc_greedy=34.3335 tc_ve=33.1888 best_seed=33.1888 t=115ms
t=340ms tc=32.9144
t=360ms tc=32.7565
t=381ms tc=32.6497
t=401ms tc=32.1736
t=418ms tc=31.9450
t=436ms tc=31.6305
t=454ms tc=31.5036
t=472ms tc=31.4783
t=490ms tc=31.3737
t=507ms tc=31.2593
t=527ms tc=30.6967
t=545ms tc=30.5948
t=562ms tc=30.3951
t=588ms tc=30.1544
t=606ms tc=29.9056
t=624ms tc=29.9034
t=642ms tc=29.6363
t=660ms tc=29.1631
t=676ms tc=29.1011
t=693ms tc=29.0705
t=710ms tc=29.0675
t=727ms tc=29.0437
t=747ms tc=29.0253
t=764ms tc=28.9663
t=782ms tc=28.9626
t=799ms tc=28.9419
t=818ms tc=28.9220
t=835ms tc=28.9099
t=852ms tc=28.8360
t=868ms tc=28.8051
t=885ms tc=28.7612
t=902ms tc=28.7609
t=918ms tc=28.7054
t=934ms tc=28.0514
t=950ms tc=28.0207
t=968ms tc=27.9525
t=984ms tc=27.9201
t=1002ms tc=27.8117
t=1018ms tc=27.7772
t=1040ms tc=27.7563
t=1054ms tc=27.2699
t=1082ms tc=26.9742
t=1101ms tc=26.9387
t=1124ms tc=26.6946
t=1141ms tc=26.6038
t=1160ms tc=26.5430
t=1178ms tc=26.5353
t=1206ms tc=26.4804
t=1229ms tc=25.9290
t=1249ms tc=25.5667
t=1267ms tc=25.4700
t=1286ms tc=25.2447
t=1304ms tc=25.1009
t=1320ms tc=25.0948
t=1340ms tc=25.0254
t=1357ms tc=24.8455
t=1375ms tc=24.8217
t=1395ms tc=24.7494
t=1413ms tc=24.5890
t=1432ms tc=24.4892
t=1450ms tc=24.4466
t=1469ms tc=24.3577
t=1486ms tc=24.1797
t=1502ms tc=24.0974
t=1518ms tc=24.0140
t=1536ms tc=23.9700
t=1554ms tc=23.9422
t=1574ms tc=23.9334
t=1673ms tc=23.9213
t=1689ms tc=23.8696
t=1705ms tc=23.8560
t=1720ms tc=23.7974
t=1736ms tc=23.7394
t=1754ms tc=23.7348
t=1772ms tc=23.6705
t=1791ms tc=23.6307
t=1809ms tc=23.5561
t=1828ms tc=23.5433
t=1856ms tc=23.5386
t=1873ms tc=23.4662
t=1889ms tc=23.4658
t=1907ms tc=23.4294
t=1932ms tc=23.4215
t=1963ms tc=23.4127
t=1986ms tc=23.3625
t=2011ms tc=23.3622
t=2027ms tc=23.3558
t=2042ms tc=23.3555
t=2068ms tc=23.3544
t=2085ms tc=23.3508
t=2102ms tc=23.3455
t=2118ms tc=23.3394
t=2134ms tc=23.3373
t=2150ms tc=23.3351
t=2167ms tc=23.3321
t=2186ms tc=23.3287
t=2337ms tc=23.3136
t=2353ms tc=23.3115
t=2788ms tc=23.3102
t=2859ms tc=23.3100
t=2874ms tc=23.3099
t=2922ms tc=23.3099
t=5620ms tc=23.3038
t=21741ms tc=23.3026
t=58267ms tc=23.3025
t=59462ms tc=23.3022
t=59487ms tc=23.3015
anneal_sweeps=152464 cycles=80 fresh=0
t_final=87300ms tc_final=23.3015 ve_fits=true
