t_ve=8ms ve_width=54.92 ve_tc=56.4030
tc_greedy=59.3486 tc_ve=53.9067 best_seed=53.9067 t=458ms
t=1454ms tc=52.5040
t=1614ms tc=51.7651
t=1741ms tc=49.8441
t=2461ms tc=49.8254
t=2603ms tc=49.7111
t=2733ms tc=49.5321
t=3445ms tc=49.5041
t=3577ms tc=48.5799
t=3707ms tc=48.3208
t=3820ms tc=48.3180
t=4461ms tc=48.2759
t=4573ms tc=48.2668
t=4688ms tc=47.3320
t=5446ms tc=47.3178
t=5578ms tc=47.3036
t=5704ms tc=47.2913
t=6442ms tc=47.2802
t=6547ms tc=47.2742
t=6666ms tc=47.2696
t=6806ms tc=45.5222
t=7451ms tc=45.5102
t=7573ms tc=45.4035
t=7699ms tc=45.4000
t=8451ms tc=43.5919
t=8567ms tc=43.3737
t=8689ms tc=42.8437
t=9448ms tc=42.5787
t=9575ms tc=42.4888
t=9693ms tc=42.4303
t=10451ms tc=42.4158
t=10567ms tc=42.3938
t=10678ms tc=42.3602
t=11446ms tc=42.2695
t=11563ms tc=42.2585
t=11673ms tc=42.2321
t=11783ms tc=42.0559
t=12448ms tc=42.0324
t=12560ms tc=41.9096
t=12689ms tc=41.9089
t=12809ms tc=41.9049
t=13457ms tc=41.8433
t=13578ms tc=41.8415
t=13693ms tc=41.8373
t=14451ms tc=41.8275
t=14585ms tc=41.7664
t=14698ms tc=41.7617
t=15443ms tc=41.7471
t=15552ms tc=41.7376
t=15646ms tc=40.8841
t=16441ms tc=40.8824
t=16561ms tc=40.8750
t=16677ms tc=40.8362
t=16805ms tc=40.0985
t=17458ms tc=39.8686
t=17561ms tc=38.6169
t=17682ms tc=38.5547
t=18449ms tc=38.4138
t=18569ms tc=38.2213
t=18699ms tc=38.1616
t=19455ms tc=38.1179
t=19575ms tc=38.1173
t=19698ms tc=37.6023
t=20450ms tc=37.4792
t=20572ms tc=37.4749
t=20678ms tc=37.4270
t=21445ms tc=37.3862
t=21570ms tc=37.3456
t=21699ms tc=37.2635
t=22446ms tc=37.1044
t=22583ms tc=37.0971
t=22734ms tc=37.0065
t=23443ms tc=36.9731
t=23538ms tc=36.9109
t=23635ms tc=36.8171
t=23753ms tc=36.6741
t=24452ms tc=36.6621
t=24581ms tc=36.6405
t=24703ms tc=36.6212
t=25451ms tc=36.6069
t=25603ms tc=36.5931
t=25726ms tc=36.4552
t=26452ms tc=36.4511
t=26586ms tc=36.4170
t=26716ms tc=36.3866
t=27442ms tc=36.3435
t=27570ms tc=36.2948
t=27690ms tc=36.2610
t=27810ms tc=36.2325
t=28461ms tc=36.2220
t=28577ms tc=36.1864
t=28695ms tc=36.0672
t=29450ms tc=36.0044
t=29580ms tc=35.7656
t=29704ms tc=35.6056
t=30455ms tc=35.5446
t=30580ms tc=35.4537
t=30763ms tc=35.4222
t=31457ms tc=35.3555
t=31575ms tc=35.3530
t=31696ms tc=35.2853
t=32459ms tc=35.2608
t=32584ms tc=35.1154
t=32731ms tc=35.0649
t=33453ms tc=34.9494
t=33595ms tc=34.7471
t=33732ms tc=34.7215
t=34450ms tc=34.7191
t=34574ms tc=34.5907
t=34711ms tc=34.5512
t=35449ms tc=34.5465
t=35574ms tc=34.4802
t=35701ms tc=34.4597
t=35887ms tc=34.4255
t=36462ms tc=34.3972
t=36616ms tc=34.3828
t=36744ms tc=34.3004
t=37457ms tc=34.2960
t=37594ms tc=34.2723
t=37747ms tc=34.2659
t=38452ms tc=34.2120
t=38598ms tc=34.1158
t=38747ms tc=34.0885
t=39451ms tc=34.0542
t=39648ms tc=34.0079
t=40443ms tc=33.9699
t=40588ms tc=33.8872
t=40711ms tc=33.8665
t=41450ms tc=33.8456
t=41593ms tc=33.8323
t=41788ms tc=33.7422
t=42450ms tc=33.6756
t=42599ms tc=33.6410
t=42758ms tc=33.5642
t=43459ms tc=33.5532
t=43641ms tc=33.5004
t=44443ms tc=33.4901
t=44584ms tc=33.4854
t=44708ms tc=33.4128
t=44826ms tc=33.3478
t=44956ms tc=33.3381
t=45452ms tc=33.3243
t=45587ms tc=33.3061
t=45723ms tc=33.2911
t=45871ms tc=33.2534
t=46460ms tc=33.2444
t=46592ms tc=33.2336
t=46719ms tc=33.2217
t=47466ms tc=33.1739
t=47607ms tc=32.9787
t=47744ms tc=32.8879
t=48445ms tc=32.8742
t=48568ms tc=32.7704
t=48701ms tc=32.7232
t=49444ms tc=32.6966
t=49571ms tc=32.6803
t=49691ms tc=32.6188
t=49816ms tc=32.6011
t=50460ms tc=32.5743
t=50601ms tc=32.5437
t=50739ms tc=32.5231
t=51461ms tc=32.5065
t=51604ms tc=32.4872
t=51784ms tc=32.4793
t=52458ms tc=32.4471
t=52590ms tc=32.3767
t=52723ms tc=32.3542
t=53455ms tc=32.3094
t=53574ms tc=32.2557
t=53706ms tc=32.2280
t=54452ms tc=32.1929
t=54602ms tc=32.1702
t=54734ms tc=32.1371
t=55455ms tc=32.1188
t=55651ms tc=32.1140
t=55812ms tc=32.1097
t=56449ms tc=32.1021
t=56576ms tc=32.0840
t=56736ms tc=32.0595
t=57451ms tc=32.0554
t=57584ms tc=32.0533
t=57741ms tc=32.0393
t=58460ms tc=32.0385
t=58600ms tc=32.0369
t=58748ms tc=32.0144
t=59456ms tc=32.0132
t=59595ms tc=32.0102
t=59734ms tc=32.0048
t=60459ms tc=31.9920
t=60612ms tc=31.9836
t=60778ms tc=31.9628
t=61451ms tc=31.8943
t=61599ms tc=31.8922
t=61743ms tc=31.8716
t=62456ms tc=31.8691
t=62600ms tc=31.8594
t=62744ms tc=31.8283
t=63458ms tc=31.7603
t=63598ms tc=31.7134
t=64442ms tc=31.7114
t=64575ms tc=31.4081
t=64712ms tc=31.3980
t=65443ms tc=31.3877
t=65582ms tc=31.3733
t=65725ms tc=31.3408
t=66451ms tc=31.3329
t=66582ms tc=31.3326
t=66725ms tc=31.3098
t=67461ms tc=31.3051
t=67606ms tc=31.2899
t=67743ms tc=31.2629
t=68461ms tc=31.2434
t=68602ms tc=31.2412
t=68747ms tc=31.2387
t=69451ms tc=31.2315
t=69582ms tc=31.2195
t=69709ms tc=31.2025
t=70451ms tc=31.2011
t=70603ms tc=31.1917
t=70738ms tc=31.1795
t=71452ms tc=31.1513
t=71591ms tc=31.0938
t=71761ms tc=31.0898
t=72453ms tc=31.0864
t=72596ms tc=31.0832
t=72739ms tc=31.0694
t=73451ms tc=31.0541
t=73577ms tc=31.0357
t=73705ms tc=31.0319
t=74446ms tc=31.0193
t=74591ms tc=31.0190
t=74728ms tc=31.0150
t=75446ms tc=31.0137
t=75625ms tc=30.9966
t=75763ms tc=30.9905
t=76454ms tc=30.9903
t=76597ms tc=30.9899
t=76732ms tc=30.9892
t=77449ms tc=30.9714
t=77582ms tc=30.9675
t=77720ms tc=30.9619
t=78442ms tc=30.9603
t=78579ms tc=30.9457
t=78718ms tc=30.9435
t=78858ms tc=30.9353
t=79460ms tc=30.8655
t=79593ms tc=30.8631
t=79739ms tc=30.8494
t=80459ms tc=30.8493
t=80601ms tc=30.8485
t=80746ms tc=30.8435
t=81460ms tc=30.8427
t=81632ms tc=30.8424
t=81771ms tc=30.8366
t=82460ms tc=30.8275
t=82747ms tc=30.8233
t=83446ms tc=30.8114
t=83649ms tc=30.8108
t=83791ms tc=30.8080
t=84454ms tc=30.8067
t=84658ms tc=30.8006
t=84798ms tc=30.6977
t=85454ms tc=30.6958
t=85635ms tc=30.6868
t=86456ms tc=30.6846
t=86609ms tc=30.6837
t=86756ms tc=30.6833
t=87456ms tc=30.6830
anneal_sweeps=1504 cycles=1 fresh=0
t_final=87461ms tc_final=30.6830 ve_fits=true
