tc_greedy=52.3449 tc_ve=39.0249 best_seed=39.0249 t=433ms
t=1148ms tc=38.8177
t=1221ms tc=38.4771
t=1301ms tc=38.2095
t=1383ms tc=38.0785
t=1474ms tc=38.0713
t=1570ms tc=37.8060
t=1666ms tc=37.7477
t=1756ms tc=37.5923
t=1849ms tc=37.4240
t=2003ms tc=37.3756
t=2083ms tc=37.2950
t=2166ms tc=37.2782
t=2252ms tc=37.1643
t=2391ms tc=37.0261
t=2482ms tc=36.9733
t=2569ms tc=36.9664
t=2651ms tc=36.5208
t=2736ms tc=36.5124
t=2997ms tc=36.4240
t=3084ms tc=36.4148
t=3177ms tc=36.3264
t=3258ms tc=36.2947
t=3333ms tc=36.0672
t=3404ms tc=35.9702
t=3499ms tc=35.8860
t=3652ms tc=35.8276
t=3769ms tc=35.8274
t=3892ms tc=35.8087
t=4013ms tc=35.8086
t=4103ms tc=35.8050
t=4211ms tc=35.7920
t=4317ms tc=35.7854
t=4419ms tc=35.7853
t=4515ms tc=35.7816
t=4617ms tc=35.7800
t=4709ms tc=35.7795
t=4995ms tc=35.7766
t=5085ms tc=35.7504
t=5175ms tc=35.7215
t=5311ms tc=35.6578
t=5394ms tc=35.6491
t=5511ms tc=35.6487
t=5628ms tc=35.5529
t=5714ms tc=35.4553
t=5792ms tc=35.3807
t=5878ms tc=35.3713
t=6000ms tc=35.3612
t=6081ms tc=35.3588
t=6183ms tc=35.3408
t=6266ms tc=35.3406
t=6360ms tc=35.3385
t=6451ms tc=35.3380
t=6539ms tc=35.3351
t=6643ms tc=35.3351
t=6749ms tc=35.3349
t=6828ms tc=35.3347
t=7006ms tc=35.3346
t=7097ms tc=35.3345
t=7224ms tc=35.3344
t=13159ms tc=35.3342
t=13695ms tc=35.3305
t=13763ms tc=35.3301
t=47225ms tc=35.3298
t=47293ms tc=35.3298
t=47485ms tc=35.3294
t=47546ms tc=35.3285
t=47743ms tc=35.3285
t=47817ms tc=35.3285
t=76727ms tc=35.3284
t=80104ms tc=35.3284
anneal_sweeps=49936 cycles=27 fresh=0
t_final=87299ms tc_final=35.3284 ve_fits=true
